pt-br,en
Ele é um dos nossos diretores mais experientes.,He is one of our most experienced chairmen.
Ele parece nos conhecer.,He seems to know us.
Ele tem a mesma câmera que eu.,He has the same camera as I have.
Ele me perguntou quem era aquele homem.,He asked me who that man was.
Ele me perguntou quem havia pintado o quadro.,He asked me who had painted the picture.
"Ele me disse: ""Você parece triste. O que há com você?""","He said to me, ""You look sad. What is the matter with you?"""
"Ele me disse: ""Você parece triste. O que você tem?""","He said to me, ""You look sad. What is the matter with you?"""
Ele me perguntou algumas coisas a meu respeito.,He asked a few questions of me.
Ele me mostrou como se faz um bolo.,He showed me how to make a cake.
Ele fez o que ele prometeu fazer para mim.,He did what he promised to do for me.
Ele fez o que ele prometeu fazer por mim.,He did what he promised to do for me.
"Ele me disse: ""Eu li esse livro ontem.""","He said to me, 'I read this book yesterday'."
Ele me disse para fazer isso.,He told me to do it.
Ele me encontrou um táxi.,He found me a taxi.
Ele me chamou um táxi.,He called me a cab.
Ele sugeriu que eu o acompanhasse à festa.,He suggested that I accompany him to the party.
Ele me deu um presente.,He gave me a present.
Ele me incentivou a tentar novamente.,He encouraged me to try again.
Ele me disse para falar mais lentamente.,He told me to speak more slowly.
Ele me explicou a regra.,He explained the rule to me.
Ele mentiu para mim.,He lied to me.
Ele me perguntou qual era meu nome.,He asked me what my name was.
Ele me presenteou com um buquê de flores.,He presented me with a bouquet of flowers.
Ele veio para me ver.,He came to see me.
Ele me alertou do perigo.,He warned me of the danger.
Ele disse para eu ir para casa e eu obedeci.,He told me to go home and I obeyed him.
Ele me pediu perdão.,He asked for my pardon.
Ele me disse que estava muito cansado depois.,He told me that he was very tired then.
Ele me deu um relógio.,He gave me a watch.
"Ele me deu não só conselho, mas também dinheiro.","He gave me not just advice, but money as well."
Ele me pediu para renovar o título.,He asked me to renew the bond.
Ele não me deu nada para comer.,He didn't give me anything to eat.
Ele me perguntou se eu gostava de matemática.,He asked me if I liked mathematics.
Ele perguntou se eu gostava de comida chinesa.,He asked if I liked Chinese food.
Ele me deu um conselho.,He gave me a piece of advice.
Ele me escreveu uma longa carta.,He wrote me a long letter.
Ele me implorou para ficar.,He begged me to stay.
Ele sugeriu que eu deveria levá-la até lá.,He suggested to me that I should take her there.
Ele me emprestou dois livros.,He lent me two books.
Ele me fez cantar.,He made me sing.
Ele não é o meu primo.,He isn't my cousin.
Ele se casou com minha prima.,He married my cousin.
Ele se casou com meu primo.,He married my cousin.
Ele me recomendou este dicionário.,He recommended this dictionary to me.
Ele me fez cantar em cima do palco.,He made me sing on the stage.
Ele é um completo estranho para mim.,He is a complete stranger to me.
Ele tentou colocar a culpa em mim.,He tried to put the blame on me.
Será que ele pode reservar o voo para mim?,I wonder if he can reserve the flight for me.
Ele sugeriu um plano similar ao meu.,He suggested a plan similar to mine.
Ele aceitou o meu presente.,He accepted my present.
Ele é um velho amigo meu.,He is an old friend of mine.
Ele não pode mais aguentar o meu egoísmo.,He can't endure my selfishness any more.
Ele escutou a minha opinião.,He listened to my opinion.
Ele é meu melhor amigo.,He is my best friend.
Ele é meu colega de classe.,He is my classmate.
Ele não mora no meu bairro.,He doesn't live in my neighborhood.
Ele balançou a cabeça para me mostrar que aprovou meu plano.,He nodded to show that he approved of my plan.
Ele acenou para mostrar que ele aprovava o meu plano.,He nodded to show that he approved of my plan.
Ele ganha três vezes mais que eu.,He earns three times as much as I.
Ele esqueceu de devolver meu dicionário.,He forgot to give back my dictionary.
Ele respondeu facilmente à minha questão.,He answered my question easily.
Ele nunca perdoará minha dívida.,He will never forgive my debt.
Ele estendeu a mão e eu a peguei.,He held out his hand and I took it.
Ele não respondeu a minha carta.,He didn't reply to my letter.
Ele pediu meu conselho.,He asked for my advice.
Ele abusou da minha confiança.,He abused my confidence.
Ele me perguntou sobre meu novo trabalho.,He asked me about my new job.
Ele estava sentado na minha frente.,He sat right in front of me.
Ele mudou a minha vida.,He has changed my life.
Ele estava invejoso do meu sucesso.,He was jealous of my success.
Ele fingiu que não tinha me ouvido.,He made believe that he had not heard me.
Ele parece satisfeito com minha explicação.,He seems satisfied with my explanation.
Ele está correndo na minha frente.,He is running ahead of me.
Ele não prestou atenção em meu conselho.,He paid no attention to my advice.
Ele bateu a porta bem na minha cara.,He slammed the door right in my face.
Ele é meu pai.,He is my father.
Ele entrou no meu quarto.,He entered my room.
Ele não aceitou minhas desculpas.,He did not accept my apologies.
Ele é o noivo de minha irmã mais nova.,He is engaged to my younger sister.
Ele estava olhando para minha filha com olhares lânguidos.,He was making sheep's eyes at my daughter.
Ele é meu amigo.,He is my friend.
Ele vive próximo a mim.,He lives next to me.
Ele vive perto de mim.,He lives next to me.
Ele tem mais livros que eu.,He has more books than I do.
Ele fala inglês melhor do que eu.,He speaks English better than I do.
Ele fala inglês melhor do que eu.,He is a better speaker of English than I.
Ele é mais capacitado para ensinar do que eu.,He is better able to teach than I am.
Será que ele me ama?,I wonder if he loves me.
Ele prometeu me levar ao cinema.,He made a promise to take me to the movies.
Ele não tomou conhecimento de mim.,He took no notice of me.
"Assim que ele me viu, saiu correndo.","The moment he caught sight of me, he ran away."
Ele me tornou o que eu sou hoje.,He has made me what I am today.
Ele confessou que tinha se apaixonado por mim.,He confessed that he had fallen in love with me.
Espero que ele me ajude.,I hope that he will help me.
Ele não me conhece.,He doesn't know me.
Ele me deixou trabalhar nesse escritório.,He let me work in this office.
Ele me fez ir para a festa no lugar dele.,He made me attend the party in his place.
Ele me forçou a ir.,He forced me to go.
Ele nos ensina história.,He teaches us history.
Ele é popular entre nós.,He is popular among us.
Ele vai nos ajudar?,Is he going to help us?
Ele se manteve bem tranquilo.,He kept quite calm.
Ele é poeta.,He is a poet.
Ele é poeta e romancista.,He is a poet and novelist.
Ele tentou resolver o problema.,He tried solving the problem.
Acredita-se que ele passou no exame.,He is believed to have passed the examination.
Ele não pode ter passado no exame.,He can not have passed the exam.
Ele fez todo o possível para passar no exame.,He made every effort to pass the exam.
Ele está estudando muito para passar nos exames.,He is studying hard so that he can pass the examinations.
Ele está desanimado pelo fracasso no exame.,He is discouraged by his failure in the examination.
"Ele não passou no exame, mas não se importa muito.","He failed the exam, but he doesn't care too much."
Será que ele não passará na prova?,Will he fail the examination?
"Ele fica ora feliz, ora triste com o progresso do jogo.","He is now glad, now sad at the progress of the game."
Ele espremeu a pasta de dentes do tubo.,He squeezed the toothpaste out of a tube.
O fracasso dele nos negócios o deixou quebrado.,His failure in business left him penniless.
Ele voltou do escritório.,He has come back from the office.
A caligrafia dele é feia.,His handwriting is poor.
Ele sabe como usar bem o seu tempo.,He knows how to make good use of his time.
Ele sabe aproveitar bem o seu tempo.,He knows how to make good use of his time.
Ele esta só matando tempo.,He is just killing time.
Ele visitava-me ocasionalmente.,He occasionally visited me.
Ele falta à escola de vez em quando.,He is sometimes absent from school.
Ele vem me encontrar às vezes.,He comes to meet me sometimes.
Ele me escrevia de vez em quando.,He wrote to me from time to time.
Ele me telefona de vez em quando.,He gives me a phone call every now and then.
Ele dirigia o carro a oitenta quilômetros por hora.,He drove the car at eighty kilometers an hour.
Ele anunciou o próximo cantor.,He announced the next singer.
Ele anunciou a próxima cantora.,He announced the next singer.
Ele pode estar no próximo trem.,He may be on the next train.
Ele foi lá em pessoa.,He went there in person.
Ele se mantém fiel a seus princípios.,He remains loyal to his principles.
Ele tentou suicidar-se.,He tried to kill himself.
Ele tentou se matar.,He tried to kill himself.
Ele cometeu suicídio.,He committed suicide.
Ele suicidou-se.,He committed suicide.
Ele veio de bicicleta.,He went by bicycle.
Ele vai para a escola de bicicleta.,He goes to school by bicycle.
Ele está andando de bicicleta.,He is riding a bicycle.
Ele está lavando o seu carro.,He is washing his car.
Ele é incapaz de comprar um carro.,He is unable to buy a car.
Seu único filho foi morto em um acidente de carro.,He had his only son killed in an automobile accident.
Ele morreu em um acidente de carro.,He was killed in a car accident.
Ele foi ferido gravemente no acidente de carro.,He was seriously injured in the car accident.
Ele não se rebaixaria a pedir desculpas.,He wouldn't lower himself to apologize.
"Ele nunca cede, mesmo quando está errado.",He will never give in even when he is wrong.
Viu-se como salvador do mundo.,He saw himself as the savior of the world.
Ele confessou que era culpado.,He confessed that he was guilty.
Ele tinha a ilusão que era um gênio.,He had the illusion that he was a genius.
Ele achava que era um gênio.,He thought that he was a genius.
Ele mesmo preparou o jantar.,He prepared supper by himself.
Ele colocou todo o seu dinheiro na caixa.,He put all his money in the box.
Ele tirou fotos de mim com a câmera dele.,He took pictures of me with his camera.
Ele persistiu em cumprir o seu plano original.,He persisted in accomplishing his original plan.
Ele tem casa própria.,He has a house of his own.
Ele refletiu seus erros.,He reflected on his errors.
Que é que ele te disse sobre suas expectativas?,What did he tell you about his hope?
Ele colocou seu dinheiro na caixa.,He put his money in the box.
Ele lamenta o fato de ter desperdiçado seu dinheiro.,He regrets his having wasted his money.
